33933322 INFO  [2013-11-04 00:01:31]  180-/-2964561-/-19140000
33941221 INFO  [2013-11-04 00:01:39]  180-/-2973712-/-19150000
33948531 INFO  [2013-11-04 00:01:46]  180-/-2982217-/-19160000
33954830 INFO  [2013-11-04 00:01:53]  180-/-2990745-/-19170000
33962552 INFO  [2013-11-04 00:02:00]  180-/-2999564-/-19180000
33969967 INFO  [2013-11-04 00:02:08]  180-/-3008437-/-19190000
33978706 INFO  [2013-11-04 00:02:16]  180-/-3017526-/-19200000
33987158 INFO  [2013-11-04 00:02:25]  180-/-3026778-/-19210000
33996542 INFO  [2013-11-04 00:02:34]  180-/-3036412-/-19220000
34006507 INFO  [2013-11-04 00:02:44]  180-/-3046173-/-19230000
34016028 INFO  [2013-11-04 00:02:54]  180-/-3055934-/-19240000
34026853 INFO  [2013-11-04 00:03:05]  180-/-3065647-/-19250000
34036655 INFO  [2013-11-04 00:03:14]  180-/-3075357-/-19260000
34046580 INFO  [2013-11-04 00:03:24]  180-/-3085070-/-19270000
34056835 INFO  [2013-11-04 00:03:35]  180-/-3094789-/-19280000
34067405 INFO  [2013-11-04 00:03:45]  180-/-3104523-/-19290000
34075046 INFO  [2013-11-04 00:03:53]  180-/-3113524-/-19300000
34082970 INFO  [2013-11-04 00:04:01]  180-/-3122206-/-19310000
34090543 INFO  [2013-11-04 00:04:08]  180-/-3130606-/-19320000
34097818 INFO  [2013-11-04 00:04:16]  180-/-3139313-/-19330000
34105286 INFO  [2013-11-04 00:04:23]  180-/-3148079-/-19340000
34112640 INFO  [2013-11-04 00:04:30]  180-/-3157239-/-19350000
34119745 INFO  [2013-11-04 00:04:37]  180-/-3166302-/-19360000
34128223 INFO  [2013-11-04 00:04:46]  180-/-3175454-/-19370000
34135916 INFO  [2013-11-04 00:04:54]  180-/-3184483-/-19380000
34143923 INFO  [2013-11-04 00:05:02]  180-/-3193510-/-19390000
34152197 INFO  [2013-11-04 00:05:10]  180-/-3202575-/-19400000
34160175 INFO  [2013-11-04 00:05:18]  180-/-3211611-/-19410000
34168168 INFO  [2013-11-04 00:05:26]  180-/-3220702-/-19420000
34176407 INFO  [2013-11-04 00:05:34]  180-/-3229867-/-19430000
34184988 INFO  [2013-11-04 00:05:43]  180-/-3239011-/-19440000
34193664 INFO  [2013-11-04 00:05:51]  180-/-3248163-/-19450000
34201235 INFO  [2013-11-04 00:05:59]  180-/-3257138-/-19460000
34208992 INFO  [2013-11-04 00:06:07]  180-/-3265987-/-19470000
34216482 INFO  [2013-11-04 00:06:14]  180-/-3274941-/-19480000
34224606 INFO  [2013-11-04 00:06:22]  180-/-3284003-/-19490000
34232278 INFO  [2013-11-04 00:06:30]  180-/-3292897-/-19500000
34240150 INFO  [2013-11-04 00:06:38]  180-/-3301871-/-19510000
34247462 INFO  [2013-11-04 00:06:45]  180-/-3310671-/-19520000
34254663 INFO  [2013-11-04 00:06:52]  180-/-3319552-/-19530000
34261397 INFO  [2013-11-04 00:06:59]  180-/-3328187-/-19540000
34267821 INFO  [2013-11-04 00:07:06]  180-/-3336992-/-19550000
34274997 INFO  [2013-11-04 00:07:13]  180-/-3345821-/-19560000
34282352 INFO  [2013-11-04 00:07:20]  180-/-3354586-/-19570000
34289091 INFO  [2013-11-04 00:07:27]  180-/-3362957-/-19580000
34295997 INFO  [2013-11-04 00:07:34]  180-/-3371644-/-19590000
34302768 INFO  [2013-11-04 00:07:40]  180-/-3380501-/-19600000
34309244 INFO  [2013-11-04 00:07:47]  180-/-3389168-/-19610000
34317085 INFO  [2013-11-04 00:07:55]  180-/-3398046-/-19620000
34324811 INFO  [2013-11-04 00:08:03]  180-/-3406966-/-19630000
34331467 INFO  [2013-11-04 00:08:09]  180-/-3415845-/-19640000
34338501 INFO  [2013-11-04 00:08:16]  180-/-3424518-/-19650000
34345647 INFO  [2013-11-04 00:08:23]  180-/-3433381-/-19660000
34352476 INFO  [2013-11-04 00:08:30]  180-/-3442137-/-19670000
34359456 INFO  [2013-11-04 00:08:37]  180-/-3450964-/-19680000
34366644 INFO  [2013-11-04 00:08:44]  180-/-3459784-/-19690000
34374068 INFO  [2013-11-04 00:08:52]  180-/-3468752-/-19700000
34380730 INFO  [2013-11-04 00:08:58]  180-/-3477627-/-19710000
34388108 INFO  [2013-11-04 00:09:06]  180-/-3486630-/-19720000
34396397 INFO  [2013-11-04 00:09:14]  180-/-3495931-/-19730000
34404607 INFO  [2013-11-04 00:09:22]  180-/-3505504-/-19740000
34412427 INFO  [2013-11-04 00:09:30]  180-/-3515091-/-19750000
34420631 INFO  [2013-11-04 00:09:38]  180-/-3524436-/-19760000
34427857 INFO  [2013-11-04 00:09:46]  180-/-3533372-/-19770000
34435681 INFO  [2013-11-04 00:09:53]  180-/-3542172-/-19780000
34443122 INFO  [2013-11-04 00:10:01]  180-/-3551055-/-19790000
34449933 INFO  [2013-11-04 00:10:08]  180-/-3559941-/-19800000
